id;id_cau_hinh;noi_dung;javascript;css;id_loai_ds;id_don_vi;trang_thai
1;14578;flowery aw blah;for;poorly adhere courageously;10392;7712;3486
2;18295;what boohoo;bleakly though unify;scary;14539;17958;6799
3;28374;in cleverly spill;near whoa;until;20030;8630;19573
4;19021;duh;absent;assimilate yippee comportment;26703;1549;3845
5;17564;politely atop;embossing down at;underneath after;27728;27322;30541
6;30443;round wildly vainly;brick phew wherever;sandy;17185;22277;16977
7;32194;but geez idolized;meh aha wherever;firm;19416;16726;29699
8;17981;lard adorn;physically colorful dazzling;buzzing;19639;14409;19298
9;4554;notable ick;downplay per nor;phase off;18580;20320;25558
10;25081;alongside;beyond pastel;bulky;12814;754;5442
